,MLII,V2,symbol
0,-0.375,0.05,
1,-0.375,0.05,
2,-0.375,0.05,
3,-0.375,0.05,
4,-0.375,0.05,
5,-0.375,0.05,
6,-0.375,0.05,
7,-0.375,0.05,
8,-0.385,0.05,
9,-0.385,0.035,
10,-0.385,0.035,
11,-0.38,0.05,
12,-0.36,0.065,
13,-0.36,0.065,
14,-0.37,0.04,
15,-0.365,0.045,
16,-0.37,0.035,
17,-0.36,0.055,
18,-0.355,0.07,
19,-0.345,0.075,
20,-0.34,0.065,
21,-0.345,0.055,+
22,-0.345,0.07,
23,-0.33,0.08,
24,-0.325,0.09,
25,-0.31,0.085,
26,-0.305,0.09,
27,-0.31,0.085,
28,-0.31,0.085,
29,-0.3,0.105,
30,-0.28,0.12,
31,-0.25,0.125,
32,-0.25,0.12,
33,-0.245,0.125,
34,-0.235,0.135,
35,-0.22,0.145,
36,-0.195,0.16,
37,-0.165,0.165,
38,-0.16,0.175,
39,-0.16,0.17,
40,-0.135,0.18,
41,-0.12,0.21,
42,-0.09,0.23,
43,-0.06,0.235,
44,-0.045,0.24,
45,-0.035,0.255,
46,-0.015,0.255,
47,0.0,0.275,
48,0.03,0.3,
49,0.06,0.295,
50,0.07,0.315,
51,0.075,0.315,
52,0.075,0.335,
53,0.1,0.35,
54,0.11,0.35,
55,0.135,0.355,
56,0.13,0.355,
57,0.145,0.35,
58,0.135,0.355,
59,0.16,0.37,
60,0.165,0.39,
61,0.175,0.395,
62,0.185,0.385,
63,0.175,0.37,
64,0.165,0.365,
65,0.17,0.38,
66,0.16,0.385,
67,0.15,0.375,
68,0.14,0.37,
69,0.12,0.345,
70,0.085,0.345,
71,0.08,0.335,
72,0.07,0.33,
73,0.055,0.31,
74,0.02,0.28,
75,-0.005,0.265,
76,-0.05,0.25,
77,-0.065,0.24,
78,-0.085,0.225,
79,-0.095,0.205,
80,-0.125,0.18,
81,-0.145,0.165,
82,-0.165,0.145,
83,-0.175,0.135,
84,-0.185,0.13,
85,-0.205,0.125,
86,-0.215,0.105,
87,-0.22,0.085,
88,-0.23,0.075,
89,-0.245,0.08,
90,-0.24,0.08,
91,-0.245,0.075,
92,-0.245,0.06,
93,-0.265,0.04,
94,-0.265,0.04,
95,-0.265,0.05,
96,-0.26,0.065,
97,-0.255,0.05,
98,-0.27,0.04,
99,-0.265,0.03,
100,-0.275,0.03,
101,-0.265,0.035,
102,-0.275,0.045,
103,-0.265,0.045,
104,-0.27,0.035,
105,-0.265,0.025,
106,-0.28,0.015,
107,-0.285,0.02,
108,-0.275,0.035,
109,-0.26,0.045,
110,-0.25,0.045,
111,-0.265,0.04,
112,-0.27,0.025,
113,-0.265,0.045,
114,-0.24,0.06,
115,-0.245,0.06,
116,-0.25,0.045,
117,-0.25,0.04,
118,-0.255,0.05,
119,-0.24,0.055,
120,-0.23,0.07,
121,-0.225,0.07,
122,-0.23,0.07,
123,-0.24,0.05,
124,-0.24,0.055,
125,-0.24,0.065,
126,-0.22,0.065,
127,-0.22,0.075,
128,-0.22,0.065,
129,-0.225,0.06,
130,-0.24,0.065,
131,-0.235,0.07,
132,-0.215,0.09,
133,-0.22,0.07,
134,-0.23,0.06,
135,-0.23,0.065,
136,-0.235,0.055,
137,-0.235,0.065,
138,-0.22,0.065,
139,-0.215,0.08,
140,-0.23,0.075,
141,-0.24,0.07,
142,-0.25,0.06,
143,-0.245,0.06,
144,-0.24,0.065,
145,-0.24,0.07,
146,-0.235,0.05,
147,-0.25,0.045,
148,-0.255,0.045,
149,-0.255,0.05,
150,-0.25,0.06,
151,-0.245,0.05,
152,-0.255,0.04,
153,-0.27,0.03,
154,-0.27,0.02,
155,-0.265,0.02,
156,-0.26,0.04,
157,-0.255,0.025,
158,-0.27,0.025,
159,-0.28,0.025,
160,-0.29,0.01,
161,-0.285,0.015,
162,-0.285,0.03,
163,-0.29,0.01,
164,-0.29,0.0,
165,-0.29,-0.01,
166,-0.3,-0.01,
167,-0.295,-0.005,
168,-0.3,0.005,
169,-0.3,0.0,
170,-0.305,-0.005,
171,-0.3,-0.02,
172,-0.32,-0.02,
173,-0.315,-0.01,
174,-0.315,-0.01,
175,-0.3,-0.01,
176,-0.31,-0.025,
177,-0.31,-0.035,
178,-0.325,-0.03,
179,-0.325,-0.02,
180,-0.32,-0.015,
181,-0.32,-0.015,
182,-0.31,-0.03,
183,-0.325,-0.045,
184,-0.325,-0.04,
185,-0.32,-0.04,
186,-0.315,-0.02,
187,-0.295,-0.035,
188,-0.275,-0.03,
189,-0.28,-0.045,
190,-0.28,-0.04,
191,-0.265,-0.025,
192,-0.255,-0.015,
193,-0.245,-0.015,
194,-0.24,-0.025,
195,-0.235,-0.035,
196,-0.245,-0.03,
197,-0.24,-0.015,
198,-0.235,-0.005,
199,-0.215,-0.01,
200,-0.215,-0.02,
201,-0.215,-0.03,
202,-0.23,-0.025,
203,-0.22,-0.02,
204,-0.21,-0.01,
205,-0.205,-0.02,
206,-0.215,-0.015,
207,-0.215,-0.035,
208,-0.245,-0.04,
209,-0.255,-0.04,
210,-0.25,-0.04,
211,-0.26,-0.06,
212,-0.27,-0.07,
213,-0.27,-0.085,
214,-0.27,-0.1,
215,-0.255,-0.09,
216,-0.25,-0.055,
217,-0.255,-0.055,
218,-0.26,-0.035,
219,-0.295,-0.035,
220,-0.315,-0.045,
221,-0.32,-0.025,
222,-0.325,-0.03,
223,-0.33,-0.035,
224,-0.34,-0.045,
225,-0.355,-0.07,
226,-0.38,-0.07,
227,-0.385,-0.06,
228,-0.38,-0.05,
229,-0.38,-0.055,
230,-0.395,-0.065,
231,-0.41,-0.075,
232,-0.405,-0.085,
233,-0.41,-0.075,
234,-0.405,-0.065,
235,-0.4,-0.075,
236,-0.39,-0.08,
237,-0.405,-0.08,
238,-0.42,-0.08,
239,-0.41,-0.065,
240,-0.4,-0.06,
241,-0.4,-0.06,
242,-0.395,-0.065,
243,-0.405,-0.06,
244,-0.41,-0.065,
245,-0.405,-0.06,
246,-0.4,-0.05,
247,-0.405,-0.05,
248,-0.405,-0.06,
249,-0.42,-0.075,
250,-0.445,-0.07,
251,-0.475,-0.055,
252,-0.54,-0.055,
253,-0.58,-0.085,
254,-0.59,-0.105,
255,-0.55,-0.11,
256,-0.485,-0.075,
257,-0.39,-0.035,
258,-0.21,0.01,
259,0.09,0.095,
260,0.47,0.235,
261,0.85,0.43,
262,1.19,0.67,
263,1.51,0.91,
264,1.75,1.16,
265,1.85,1.365,N
266,1.8,1.435,
267,1.585,1.38,
268,1.14,1.17,
269,0.62,0.82,
270,0.13,0.38,
271,-0.235,-0.03,
272,-0.44,-0.345,
273,-0.52,-0.475,
274,-0.525,-0.48,
275,-0.485,-0.41,
276,-0.405,-0.3,
277,-0.33,-0.195,
278,-0.295,-0.1,
279,-0.32,-0.04,
280,-0.36,-0.02,
281,-0.375,-0.01,
282,-0.375,-0.02,
283,-0.38,-0.035,
284,-0.38,-0.04,
285,-0.395,-0.045,
286,-0.42,-0.05,
287,-0.43,-0.045,
288,-0.435,-0.04,
289,-0.43,-0.055,
290,-0.435,-0.06,
291,-0.45,-0.06,
292,-0.465,-0.075,
293,-0.46,-0.055,
294,-0.45,-0.05,
295,-0.445,-0.05,
296,-0.46,-0.06,
297,-0.465,-0.06,
298,-0.485,-0.06,
299,-0.47,-0.05,
300,-0.455,-0.045,
301,-0.465,-0.055,
302,-0.46,-0.065,
303,-0.47,-0.06,
304,-0.475,-0.055,
305,-0.465,-0.045,
306,-0.475,-0.03,
307,-0.475,-0.045,
308,-0.47,-0.04,
309,-0.465,-0.05,
310,-0.485,-0.05,
311,-0.47,-0.035,
312,-0.46,-0.025,
313,-0.455,-0.02,
314,-0.44,-0.04,
315,-0.46,-0.04,
316,-0.47,-0.04,
317,-0.45,-0.035,
318,-0.43,-0.025,
319,-0.435,-0.02,
320,-0.435,-0.02,
321,-0.435,-0.02,
322,-0.44,-0.02,
323,-0.425,-0.005,
324,-0.41,0.005,
325,-0.395,-0.005,
326,-0.39,0.0,
327,-0.4,-0.005,
328,-0.4,0.0,
329,-0.39,0.005,
330,-0.37,0.035,
331,-0.345,0.03,
332,-0.34,0.035,
333,-0.34,0.025,
334,-0.345,0.03,
335,-0.32,0.055,
336,-0.29,0.08,
337,-0.275,0.06,
338,-0.26,0.065,
339,-0.255,0.075,
340,-0.24,0.08,
341,-0.21,0.11,
342,-0.185,0.14,
343,-0.16,0.135,
344,-0.135,0.15,
345,-0.13,0.155,
346,-0.125,0.155,
347,-0.1,0.18,
348,-0.07,0.2,
349,-0.04,0.205,
350,-0.04,0.21,
351,-0.025,0.22,
352,-0.005,0.225,
353,0.015,0.24,
354,0.035,0.265,
355,0.06,0.275,
356,0.055,0.26,
357,0.06,0.27,
358,0.07,0.275,
359,0.085,0.28,
360,0.105,0.3,
361,0.115,0.3,
362,0.11,0.3,
363,0.11,0.3,
364,0.095,0.295,
365,0.1,0.305,
366,0.095,0.32,
367,0.09,0.295,
368,0.085,0.285,
369,0.055,0.275,
370,0.045,0.26,
371,0.03,0.26,
372,0.015,0.26,
373,-0.01,0.245,
374,-0.03,0.22,
375,-0.065,0.205,
376,-0.09,0.19,
377,-0.115,0.17,
378,-0.13,0.17,
379,-0.15,0.14,
380,-0.18,0.115,
381,-0.215,0.1,
382,-0.24,0.085,
383,-0.25,0.065,
384,-0.26,0.07,
385,-0.27,0.04,
386,-0.275,0.03,
387,-0.305,0.01,
388,-0.315,-0.01,
389,-0.325,0.005,
390,-0.315,0.0,
391,-0.31,-0.005,
392,-0.31,-0.015,
393,-0.35,-0.03,
394,-0.345,-0.035,
395,-0.35,-0.03,
396,-0.33,-0.015,
397,-0.325,-0.035,
398,-0.33,-0.04,
399,-0.345,-0.055,
400,-0.35,-0.065,
401,-0.345,-0.05,
402,-0.35,-0.04,
403,-0.34,-0.045,
404,-0.345,-0.045,
405,-0.35,-0.05,
406,-0.355,-0.07,
407,-0.35,-0.055,
408,-0.33,-0.04,
409,-0.33,-0.05,
410,-0.33,-0.045,
411,-0.33,-0.05,
412,-0.335,-0.05,
413,-0.325,-0.04,
414,-0.32,-0.02,
415,-0.315,-0.04,
416,-0.315,-0.045,
417,-0.32,-0.045,
418,-0.33,-0.05,
419,-0.315,-0.045,
420,-0.31,-0.015,
421,-0.3,-0.005,
422,-0.3,-0.015,
423,-0.31,-0.04,
424,-0.32,-0.025,
425,-0.31,-0.03,
426,-0.305,-0.02,
427,-0.295,-0.025,
428,-0.295,-0.02,
429,-0.295,-0.025,
430,-0.315,-0.02,
431,-0.31,-0.01,
432,-0.295,-0.01,
433,-0.295,-0.015,
434,-0.3,-0.02,
435,-0.31,-0.025,
436,-0.305,-0.025,
437,-0.31,-0.02,
438,-0.305,-0.01,
439,-0.295,-0.02,
440,-0.3,-0.025,
441,-0.315,-0.04,
442,-0.325,-0.035,
443,-0.33,-0.02,
444,-0.315,-0.03,
445,-0.31,-0.035,
446,-0.315,-0.03,
447,-0.325,-0.05,
448,-0.335,-0.045,
449,-0.33,-0.04,
450,-0.325,-0.035,
451,-0.32,-0.04,
452,-0.335,-0.05,
453,-0.33,-0.065,
454,-0.34,-0.065,
455,-0.35,-0.07,
456,-0.345,-0.055,
457,-0.34,-0.06,
458,-0.34,-0.07,
459,-0.35,-0.075,
460,-0.355,-0.075,
461,-0.35,-0.075,
462,-0.345,-0.07,
463,-0.345,-0.08,
464,-0.345,-0.09,
465,-0.35,-0.1,
466,-0.375,-0.105,
467,-0.365,-0.1,
468,-0.36,-0.085,
469,-0.37,-0.09,
470,-0.365,-0.1,
471,-0.365,-0.11,
472,-0.38,-0.11,
473,-0.385,-0.115,
474,-0.375,-0.105,
475,-0.37,-0.105,
476,-0.375,-0.115,
477,-0.385,-0.11,
478,-0.4,-0.125,
479,-0.38,-0.115,
480,-0.385,-0.105,
481,-0.375,-0.11,
482,-0.37,-0.12,
483,-0.39,-0.13,
484,-0.4,-0.135,
485,-0.395,-0.125,
486,-0.375,-0.115,
487,-0.38,-0.115,
488,-0.385,-0.125,
489,-0.385,-0.135,
490,-0.395,-0.145,
491,-0.4,-0.13,
492,-0.395,-0.12,
493,-0.385,-0.115,
494,-0.38,-0.13,
495,-0.385,-0.135,
496,-0.385,-0.145,
497,-0.375,-0.13,
498,-0.36,-0.125,
499,-0.355,-0.125,
500,-0.335,-0.125,
501,-0.335,-0.13,
502,-0.315,-0.13,
503,-0.31,-0.125,
504,-0.31,-0.11,
505,-0.31,-0.11,
506,-0.315,-0.135,
507,-0.305,-0.12,
508,-0.31,-0.13,
509,-0.285,-0.115,
510,-0.27,-0.11,
511,-0.265,-0.11,
512,-0.26,-0.13,
513,-0.27,-0.135,
514,-0.275,-0.13,
515,-0.265,-0.12,
516,-0.25,-0.105,
517,-0.25,-0.12,
518,-0.265,-0.12,
519,-0.275,-0.13,
520,-0.295,-0.15,
